NACA 4 digit Error DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   0.01916   0.00014   0.08486   0.00280   0.00070   0.00002   0.00060   0.00030
   0.00000   0.03613   0.02536   0.00000   0.00010   0.00001   0.00000   0.00000
   0.00000   0.03492   0.03535   0.00020   0.00050   0.00001   0.00000   0.00010
   0.00606   0.00519   0.11916   0.00080   0.00150   0.00000   0.00020   0.00040
   0.00000   0.03794   0.04447   0.00040   0.00020   0.00002   0.00010   0.00010
   0.00329   0.00226   0.05305   0.00110   0.00060   0.00002   0.00010   0.00020
   0.01605   0.06419   0.16829   0.00020   0.12160   0.00009   0.00100   0.02920
   0.00960   0.01490   0.01220   0.00070   0.00050   0.00000   0.00010   0.00000
   0.01305   0.03545   0.09244   0.00020   0.00100   0.00001   0.00000   0.00030
   0.00576   0.00270   0.09327   0.00040   0.00080   0.00006   0.00010   0.00010
   0.00760   0.01285   0.01114   0.00070   0.00020   0.00000   0.00010   0.00000
   0.01699   0.01258   0.02122   0.00010   0.00020   0.00001   0.00020   0.00000
   0.01123   0.01765   0.01346   0.00040   0.00030   0.00000   0.00010   0.00000
   0.01282   0.00717   0.02719   0.00000   0.00000   0.00002   0.00010   0.00010
   0.01804   0.04094   0.03383   0.00110   0.00050   0.00001   0.00020   0.00010
   0.01884   0.00317   0.02196   0.00310   0.00060   0.00001   0.00050   0.00010
   0.01764   0.01384   0.01531   0.00080   0.00040   0.00001   0.00030   0.00010
   0.01353   0.04377   0.13137   0.00430   0.00310   0.00016   0.00160   0.00050
   0.00946   0.01825   0.04603   0.00050   0.00030   0.00000   0.00020   0.00010
   0.01313   0.01206   0.08877   0.00050   0.00030   0.00000   0.00020   0.00010
   0.00468   0.01535   0.07299   0.00060   0.00070   0.00000   0.00020   0.00010
   0.00127   0.02773   0.04253   0.00130   0.00010   0.00001   0.00030   0.00010
   0.00478   0.01113   0.02617   0.00070   0.00020   0.00001   0.00020   0.00010
   0.00673   0.00901   0.07144   0.00090   0.00020   0.00001   0.00060   0.00000
   0.01386   0.01985   0.06377   0.00050   0.00010   0.00004   0.00040   0.00010
   0.00769   0.02262   0.01826   0.00130   0.00070   0.00001   0.00020   0.00020
   0.02591   0.01720   0.05994   0.00040   0.00070   0.00002   0.00020   0.00010
   0.00384   0.00944   0.04457   0.00060   0.00070   0.00001   0.00020   0.00010
   0.02195   0.01407   0.04627   0.00100   0.00000   0.00007   0.00000   0.00010
   0.00852   0.01340   0.13588   0.00120   0.00040   0.00004   0.00040   0.00010
   0.00000   0.03301   0.02524   0.00010   0.00010   0.00000   0.00000   0.00010
   0.01509   0.01672   0.01333   0.00020   0.00060   0.00002   0.00020   0.00010
   0.00000   0.47111   0.02417   0.00010   0.00030   0.00000   0.00000   0.00010
   0.02268   0.01636   0.04862   0.00000   0.00850   0.00002   0.00030   0.00090
